Poll,Date,Sample,Approve,Disapprove,Spread,Year
Reuters/Ipsos,1/27 - 1/28,950 RV,41,56,-15,2020
IBD/TIPP,1/23 - 1/30,908 A,44,51,-7,2020
Economist/YouGov,1/26 - 1/28,1182 RV,44,53,-9,2020
Gallup,1/16 - 1/29,1033 A,49,50,-1,2020
Rasmussen Reports,1/26 - 1/28,1500 LV,49,51,-2,2020
Quinnipiac,1/22 - 1/27,1095 RV,43,52,-9,2020
Politico/Morning Consult,1/24 - 1/26,1992 RV,41,55,-14,2020
Emerson,1/21 - 1/23,1128 RV,47,48,-1,2020
ABC News/Wash Post,1/20 - 1/23,880 RV,47,50,-3,2020
FOX News,1/19 - 1/22,1005 RV,45,54,-9,2020
Reuters/Ipsos,1/21 - 1/22,899 RV,42,56,-14,2020
Economist/YouGov,1/19 - 1/21,1176 RV,47,51,-4,2020
Politico/Morning Consult,1/17 - 1/19,1997 RV,43,53,-10,2020
Monmouth,1/16 - 1/20,847 RV,43,52,-9,2020
CNN,1/16 - 1/19,1051 RV,45,51,-6,2020
The Hill/HarrisX,1/13 - 1/14,1001 RV,47,53,-6,2020
Reuters/Ipsos,1/13 - 1/14,919 RV,41,56,-15,2020
Rasmussen Reports,1/14 - 1/16,1500 LV,49,50,-1,2020
Economist/YouGov,1/11 - 1/14,1108 RV,46,50,-4,2020
Politico/Morning Consult,1/10 - 1/12,1996 RV,43,54,-11,2020
Quinnipiac,1/8 - 1/12,1562 RV,43,52,-9,2020
NPR/PBS/Marist,1/7 - 1/12,1064 RV,42,53,-11,2020
Gallup,1/2 - 1/15,1014 A,44,54,-10,2020
IBD/TIPP,1/3 - 1/11,901 A,43,51,-8,2020
Reuters/Ipsos,1/6 - 1/7,957 RV,43,54,-11,2020
Economist/YouGov,1/5 - 1/7,1185 RV,43,54,-11,2020
Rasmussen Reports,1/5 - 1/7,1500 LV,46,53,-7,2020
The Hill/HarrisX,1/3 - 1/4,1001 RV,47,53,-6,2020
Politico/Morning Consult,1/4 - 1/5,1995 RV,41,56,-15,2020
Economist/YouGov,12/28 - 12/31,1123 RV,44,53,-9,2019
Harvard-Harris,12/27 - 12/29,2010 RV,47,53,-6,2019
Economist/YouGov,12/22 - 12/24,1240 RV,43,54,-11,2019
Politico/Morning Consult,12/19 - 12/20,1387 RV,41,56,-15,2019
Reuters/Ipsos,12/16 - 12/17,963 RV,45,53,-8,2019
Emerson,12/15 - 12/17,1222 RV,46,49,-3,2019
NBC News/Wall St. Jrnl,12/14 - 12/17,900 A,44,54,-10,2019
Economist/YouGov,12/14 - 12/17,1164 RV,44,53,-9,2019
Rasmussen Reports,12/17 - 12/19,1500 LV,50,48,2,2019
Politico/Morning Consult,12/14 - 12/15,1991 RV,41,56,-15,2019
The Hill/HarrisX,12/13 - 12/14,1000 RV,49,51,-2,2019
CNN,12/12 - 12/15,888 RV,44,52,-8,2019
Quinnipiac,12/11 - 12/15,1390 RV,43,52,-9,2019
USA Today/Suffolk,12/10 - 12/14,1000 RV,48,50,-2,2019
CNBC,12/10 - 12/13,800 A,40,49,-9,2019
NPR/PBS/Marist,12/9 - 12/11,1508 RV,43,53,-10,2019
IBD/TIPP,12/5 - 12/14,905 A,44,52,-8,2019
FOX News,12/8 - 12/11,1000 RV,45,53,-8,2019
Reuters/Ipsos,12/9 - 12/10,945 RV,41,56,-15,2019
The Hill/HarrisX,12/8 - 12/9,1000 RV,46,54,-8,2019
Gallup,12/2 - 12/15,1025 A,45,51,-6,2019
Economist/YouGov,12/7 - 12/10,1209 RV,44,53,-9,2019
Rasmussen Reports,12/8 - 12/10,1500 LV,51,48,3,2019
Quinnipiac,12/4 - 12/9,1553 RV,41,55,-14,2019
Politico/Morning Consult,12/6 - 12/8,1994 RV,39,58,-19,2019
Monmouth,12/4 - 12/8,838 RV,44,49,-5,2019
Economist/YouGov,12/1 - 12/3,1200 RV,46,52,-6,2019
Reuters/Ipsos,12/2 - 12/3,955 RV,42,54,-12,2019
Harvard-Harris,11/27 - 11/29,1859 RV,47,53,-6,2019
Reuters/Ipsos,11/25 - 11/26,971 RV,43,54,-11,2019
Economist/YouGov,11/24 - 11/26,1189 RV,44,53,-9,2019
Politico/Morning Consult,11/22 - 11/24,1988 RV,40,56,-16,2019
Rasmussen Reports,11/21 - 11/25,1500 LV,46,53,-7,2019
Quinnipiac,11/21 - 11/25,1355 RV,40,54,-14,2019
CNN,11/21 - 11/24,910 RV,43,53,-10,2019
Emerson,11/17 - 11/20,1092 RV,48,47,1,2019
Reuters/Ipsos,11/18 - 11/19,960 RV,41,56,-15,2019
Economist/YouGov,11/17 - 11/19,1224 RV,44,54,-10,2019
Politico/Morning Consult,11/15 - 11/17,1994 RV,41,55,-14,2019
NPR/PBS/Marist,11/11 - 11/15,988 RV,44,51,-7,2019
Reuters/Ipsos,11/12 - 11/13,952 RV,40,58,-18,2019
Economist/YouGov,11/10 - 11/12,1206 RV,43,55,-12,2019
Politico/Morning Consult,11/8 - 11/10,1993 RV,40,57,-17,2019
Rasmussen Reports,11/11 - 11/13,1500 LV,48,51,-3,2019
The Hill/HarrisX,11/8 - 11/9,1204 RV,47,53,-6,2019
Gallup,11/1 - 11/14,1015 A,43,54,-11,2019
Reuters/Ipsos,11/4 - 11/5,944 RV,40,56,-16,2019
Economist/YouGov,11/3 - 11/5,1201 RV,45,53,-8,2019
Politico/Morning Consult,11/1 - 11/3,1983 RV,41,55,-14,2019
Monmouth,10/30 - 11/3,835 RV,45,52,-7,2019
Rasmussen Reports,10/29 - 10/31,1500 LV,45,54,-9,2019
Harvard-Harris,10/29 - 10/31,1810 RV,46,54,-8,2019
NBC News/Wall St. Jrnl,10/27 - 10/30,900 A,45,53,-8,2019
ABC News/Wash Post,10/27 - 10/30,876 RV,39,59,-20,2019
FOX News,10/27 - 10/30,1040 RV,42,57,-15,2019
Economist/YouGov,10/27 - 10/29,1274 RV,45,53,-8,2019
Reuters/Ipsos,10/28 - 10/29,973 RV,41,57,-16,2019
The Hill/HarrisX,10/27 - 10/28,1001 RV,46,54,-8,2019
IBD/TIPP,10/24 - 10/31,903 A,39,56,-17,2019
Politico/Morning Consult,10/25 - 10/28,1997 RV,43,54,-11,2019
USA Today/Suffolk,10/23 - 10/26,1000 RV,46,52,-6,2019
Gallup,10/14 - 10/31,1506 A,41,57,-16,2019
Grinnell/Selzer,10/17 - 10/23,806 LV,43,51,-8,2019
Economist/YouGov,10/20 - 10/22,1204 RV,43,54,-11,2019
Reuters/Ipsos,10/18 - 10/22,3447 RV,41,57,-16,2019
Emerson,10/18 - 10/21,1000 RV,43,47,-4,2019
Politico/Morning Consult,10/18 - 10/21,1989 RV,41,56,-15,2019
Quinnipiac,10/17 - 10/21,1587 RV,38,58,-20,2019
CNN,10/17 - 10/20,892 RV,42,57,-15,2019
Rasmussen Reports,10/17 - 10/21,1500 LV,45,52,-7,2019
Reuters/Ipsos,10/14 - 10/15,961 RV,43,54,-11,2019
Economist/YouGov,10/13 - 10/15,1136 RV,42,55,-13,2019
Quinnipiac,10/11 - 10/13,1195 RV,41,54,-13,2019
Politico/Morning Consult,10/11 - 10/13,1993 RV,40,57,-17,2019
GU Politics/Battleground,10/6 - 10/10,1000 LV,43,53,-10,2019
Reuters/Ipsos,10/7 - 10/8,956 RV,41,56,-15,2019
Politico/Morning Consult,10/7 - 10/8,1991 RV,41,57,-16,2019
Economist/YouGov,10/6 - 10/8,1241 RV,46,52,-6,2019
FOX News,10/6 - 10/8,1003 RV,43,55,-12,2019
Gallup,10/1 - 10/13,1526 A,39,57,-18,2019
NPR/PBS/Marist,10/3 - 10/8,926 RV,45,51,-6,2019
NBC News/Wall St. Jrnl,10/4 - 10/6,800 A,43,53,-10,2019
Quinnipiac,10/4 - 10/7,1483 RV,40,54,-14,2019
IBD/TIPP,9/26 - 10/3,900 A,43,54,-11,2019
Reuters/Ipsos,9/30 - 10/1,964 RV,41,56,-15,2019
Economist/YouGov,9/28 - 10/1,1087 RV,42,56,-14,2019
The Hill/HarrisX,9/28 - 9/29,1000 RV,49,51,-2,2019
Politico/Morning Consult,9/27 - 9/30,2488 RV,41,56,-15,2019
Quinnipiac,9/27 - 9/29,1115 RV,41,53,-12,2019
Rasmussen Reports,9/25 - 9/29,1500 LV,49,50,-1,2019
Monmouth,9/23 - 9/29,1017 RV,43,53,-10,2019
CNBC,9/24 - 9/28,800 A,37,53,-16,2019
NPR/PBS/Marist,9/25 - 9/25,745 RV,45,51,-6,2019
Reuters/Ipsos,9/24 - 9/25,942 RV,42,53,-11,2019
Harvard-Harris,9/22 - 9/24,2009 RV,46,54,-8,2019
Gallup,9/16 - 9/30,2431 A,40,56,-16,2019
Economist/YouGov,9/22 - 9/24,1198 RV,44,52,-8,2019
Emerson,9/21 - 9/23,1019 RV,48,47,1,2019
Quinnipiac,9/19 - 9/23,1337 RV,40,55,-15,2019
Politico/Morning Consult,9/20 - 9/22,1994 RV,41,55,-14,2019
Reuters/Ipsos,9/16 - 9/17,939 RV,43,55,-12,2019
FOX News,9/15 - 9/17,1008 RV,45,54,-9,2019
Rasmussen Reports,9/15 - 9/17,1500 LV,51,48,3,2019
NBC News/Wall St. Jrnl,9/13 - 9/16,900 RV,45,53,-8,2019
Economist/YouGov,9/14 - 9/17,1184 RV,44,53,-9,2019
Politico/Morning Consult,9/13 - 9/16,1994 RV,43,53,-10,2019
The Hill/HarrisX,9/11 - 9/12,1000 RV,47,53,-6,2019
Reuters/Ipsos,9/9 - 9/10,992 RV,44,53,-9,2019
Gallup,9/3 - 9/15,1525 A,43,54,-11,2019
Economist/YouGov,9/8 - 9/10,1188 RV,44,54,-10,2019
Politico/Morning Consult,9/7 - 9/8,1998 RV,43,54,-11,2019
CNN,9/5 - 9/9,1526 RV,42,54,-12,2019
NPR/PBS/Marist,9/5 - 9/8,1160 RV,43,53,-10,2019
Reuters/Ipsos,9/3 - 9/4,950 RV,43,54,-11,2019
ABC News/Wash Post,9/2 - 9/5,877 RV,40,55,-15,2019
Economist/YouGov,9/1 - 9/3,1069 RV,46,51,-5,2019
Harvard-Harris,8/26 - 8/28,2531 RV,45,55,-10,2019
Reuters/Ipsos,8/26 - 8/27,961 RV,42,56,-14,2019
Economist/YouGov,8/24 - 8/27,1093 RV,44,52,-8,2019
IBD/TIPP,8/22 - 8/30,903 A,39,55,-16,2019
Emerson,8/24 - 8/26,1458 RV,43,52,-9,2019
Rasmussen Reports,8/25 - 8/27,1500 LV,47,52,-5,2019
Politico/Morning Consult,8/23 - 8/25,1987 RV,41,56,-15,2019
The Hill/HarrisX,8/23 - 8/24,1003 RV,46,54,-8,2019
Quinnipiac,8/21 - 8/26,1422 RV,38,56,-18,2019
USA Today/Suffolk,8/20 - 8/25,1000 RV,44,54,-10,2019
Gallup,8/15 - 8/30,A,39,57,-18,2019
Reuters/Ipsos,8/19 - 8/20,985 RV,42,54,-12,2019
The Hill/HarrisX,8/18 - 8/20,2002 RV,46,54,-8,2019
Economist/YouGov,8/17 - 8/20,1111 RV,44,52,-8,2019
Monmouth,8/16 - 8/20,689 RV,41,53,-12,2019
Rasmussen Reports,8/18 - 8/20,1500 LV,46,52,-6,2019
Politico/Morning Consult,8/16 - 8/18,1998 RV,42,55,-13,2019
CNN,8/15 - 8/18,886 RV,41,54,-13,2019
NBC News/Wall St. Jrnl,8/10 - 8/14,1000 A,43,55,-12,2019
FOX News,8/11 - 8/13,1013 RV,43,56,-13,2019
Reuters/Ipsos,8/12 - 8/13,980 RV,43,53,-10,2019
Economist/YouGov,8/10 - 8/13,1127 RV,44,54,-10,2019
Rasmussen Reports,8/11 - 8/13,1500 LV,45,54,-9,2019
Politico/Morning Consult,8/9 - 8/11,1993 RV,42,54,-12,2019
Gallup,8/1 - 8/14,1522 A,41,54,-13,2019
Politico/Morning Consult,8/5 - 8/7,1960 RV,41,55,-14,2019
The Hill/HarrisX,8/5 - 8/6,1001 RV,45,55,-10,2019
Rasmussen Reports,8/4 - 8/6,1500 LV,47,51,-4,2019
Economist/YouGov,8/3 - 8/6,1161 RV,44,52,-8,2019
Reuters/Ipsos,8/1 - 8/5,1795 RV,43,54,-11,2019
Politico/Morning Consult,8/1 - 8/3,1996 RV,45,52,-7,2019
Harvard-Harris,7/31 - 8/1,816 RV,45,55,-10,2019
Reuters/Ipsos,7/29 - 7/30,972 RV,40,58,-18,2019
IBD/TIPP,7/25 - 8/1,902 A,40,56,-16,2019
Economist/YouGov,7/27 - 7/30,1101 RV,43,55,-12,2019
Emerson,7/27 - 7/29,1233 RV,45,46,-1,2019
Rasmussen Reports,7/28 - 7/30,1500 LV,47,52,-5,2019
Politico/Morning Consult,7/25 - 7/27,1994 RV,43,53,-10,2019
Quinnipiac,7/25 - 7/28,579 RV,40,54,-14,2019
Politico/Morning Consult,7/25 - 7/25,1992 RV,41,57,-16,2019
Gallup,7/15 - 7/31,3038 A,42,54,-12,2019
Reuters/Ipsos,7/22 - 7/23,963 RV,42,57,-15,2019
FOX News,7/21 - 7/23,1004 RV,46,51,-5,2019
Economist/YouGov,7/21 - 7/23,1212 RV,45,52,-7,2019
The Hill/HarrisX,7/20 - 7/21,1003 RV,46,54,-8,2019
Rasmussen Reports,7/21 - 7/23,1500 LV,48,50,-2,2019
Politico/Morning Consult,7/19 - 7/21,1992 RV,40,57,-17,2019
NPR/PBS/Marist,7/15 - 7/17,1175 RV,44,53,-9,2019
Reuters/Ipsos,7/15 - 7/16,954 RV,44,54,-10,2019
Economist/YouGov,7/14 - 7/16,1149 RV,46,51,-5,2019
Rasmussen Reports,7/14 - 7/16,1500 LV,50,48,2,2019
Politico/Morning Consult,7/12 - 7/14,1984 RV,40,56,-16,2019
The Hill/HarrisX,7/8 - 7/9,1001 RV,47,53,-6,2019
Reuters/Ipsos,7/8 - 7/9,971 RV,43,55,-12,2019
NBC News/Wall St. Jrnl,7/7 - 7/9,800 RV,45,52,-7,2019
Economist/YouGov,7/7 - 7/9,1140 RV,43,53,-10,2019
Emerson,7/6 - 7/8,1100 RV,44,48,-4,2019
Rasmussen Reports,7/7 - 7/9,1500 LV,49,50,-1,2019
Gallup,7/1 - 7/12,1525 A,44,51,-7,2019
PPP (D),7/3 - 7/8,604 RV,42,52,-10,2019
Economist/YouGov,6/30 - 7/2,1265 RV,44,53,-9,2019
Reuters/Ipsos,6/28 - 7/2,1973 RV,43,55,-12,2019
Rasmussen Reports,6/30 - 7/2,1500 LV,49,50,-1,2019
Politico/Morning Consult,6/29 - 7/1,1472 RV,43,53,-10,2019
ABC News/Wash Post,6/28 - 7/1,875 RV,47,50,-3,2019
CNN,6/28 - 6/30,1466 RV,45,51,-6,2019
Harvard-Harris,6/26 - 6/29,2182 RV,44,56,-12,2019
The Hill/HarrisX,6/25 - 6/26,1000 RV,45,55,-10,2019
Reuters/Ipsos,6/24 - 6/25,975 RV,41,56,-15,2019
Gallup,6/19 - 6/30,1018 A,41,54,-13,2019
Economist/YouGov,6/22 - 6/25,1111 RV,44,51,-7,2019
Rasmussen Reports,6/23 - 6/25,1500 LV,48,50,-2,2019
IBD/TIPP,6/20 - 6/27,900 A,43,49,-6,2019
Emerson,6/21 - 6/24,1096 RV,43,48,-5,2019
Politico/Morning Consult,6/21 - 6/24,1991 RV,43,54,-11,2019
Reuters/Ipsos,6/17 - 6/18,892 RV,42,57,-15,2019
Economist/YouGov,6/16 - 6/18,1202 RV,45,51,-6,2019
Politico/Morning Consult,6/14 - 6/16,1992 RV,41,54,-13,2019
Monmouth,6/12 - 6/17,660 RV,42,51,-9,2019
USA Today/Suffolk,6/11 - 6/15,1000 RV,49,48,1,2019
Rasmussen Reports,6/16 - 6/18,1500 LV,47,50,-3,2019
FOX News,6/9 - 6/12,1001 RV,45,53,-8,2019
Reuters/Ipsos,6/10 - 6/11,983 RV,41,58,-17,2019
Economist/YouGov,6/9 - 6/11,1107 RV,45,52,-7,2019
NBC News/Wall St. Jrnl,6/8 - 6/11,1000 A,44,53,-9,2019
Gallup,6/3 - 6/16,1015 A,43,55,-12,2019
Rasmussen Reports,6/9 - 6/11,1500 LV,51,47,4,2019
Quinnipiac,6/6 - 6/10,1214 RV,42,53,-11,2019
Politico/Morning Consult,6/7 - 6/9,1991 RV,41,56,-15,2019
The Hill/HarrisX,6/7 - 6/8,1001 RV,45,55,-10,2019
Economist/YouGov,6/2 - 6/4,1195 RV,45,53,-8,2019
NPR/PBS/Marist,5/31 - 6/4,783 RV,43,49,-6,2019
IBD/TIPP,5/30 - 6/7,906 A,42,52,-10,2019
Politico/Morning Consult,5/31 - 6/2,1997 RV,43,54,-11,2019
Rasmussen Reports,6/2 - 6/4,1500 LV,49,50,-1,2019
Reuters/Ipsos,5/29 - 6/5,3851 RV,40,57,-17,2019
Harvard-Harris,5/29 - 5/30,1295 RV,48,52,-4,2019
CNN,5/28 - 5/31,902 RV,43,53,-10,2019
Reuters/Ipsos,5/28 - 5/29,984 RV,42,56,-14,2019
Economist/YouGov,5/26 - 5/28,1120 RV,44,52,-8,2019
The Hill/HarrisX,5/24 - 5/25,1001 RV,44,56,-12,2019
CNBC,5/22 - 5/26,800 A,40,50,-10,2019
Gallup,5/15 - 5/30,1017 A,40,55,-15,2019
Rasmussen Reports,5/26 - 5/28,1500 LV,47,52,-5,2019
Rasmussen Reports,5/19 - 5/21,1500 LV,46,53,-7,2019
Economist/YouGov,5/18 - 5/21,1113 RV,44,54,-10,2019
CBS News,5/17 - 5/20,1101 A,41,52,-11,2019
Reuters/Ipsos,5/17 - 5/20,869 RV,44,55,-11,2019
Politico/Morning Consult,5/17 - 5/19,1995 RV,42,56,-14,2019
Monmouth,5/16 - 5/20,719 RV,41,52,-11,2019
Quinnipiac,5/16 - 5/20,1078 RV,38,57,-19,2019
Economist/YouGov,5/12 - 5/14,1244 RV,44,52,-8,2019
FOX News,5/11 - 5/14,1008 RV,46,53,-7,2019
Emerson,5/10 - 5/13,1006 RV,43,49,-6,2019
Reuters/Ipsos,5/10 - 5/14,1707 RV,40,57,-17,2019
Rasmussen Reports,5/12 - 5/14,1500 LV,48,50,-2,2019
Politico/Morning Consult,5/10 - 5/12,1995 RV,41,56,-15,2019
The Hill/HarrisX,5/10 - 5/11,1000 RV,44,56,-12,2019
Reuters/Ipsos,5/6 - 5/7,841 RV,43,55,-12,2019
Gallup,5/1 - 5/12,1009 A,42,52,-10,2019
Economist/YouGov,5/5 - 5/7,1168 RV,45,52,-7,2019
Rasmussen Reports,5/5 - 5/7,1500 LV,49,49,Tie,2019
Politico/Morning Consult,5/3 - 5/6,1990 RV,43,52,-9,2019
IBD/TIPP,4/26 - 5/5,900 A,43,50,-7,2019
Harvard-Harris,4/30 - 5/1,1536 RV,46,54,-8,2019
NBC News/Wall St. Jrnl,4/28 - 5/1,900 A,46,51,-5,2019
The Hill/HarrisX,4/29 - 4/30,1001 RV,46,54,-8,2019
Reuters/Ipsos,4/29 - 4/30,1004 A,39,56,-17,2019
Economist/YouGov,4/27 - 4/30,1073 RV,44,53,-9,2019
Politico/Morning Consult,4/28 - 4/29,1995 RV,42,54,-12,2019
Rasmussen Reports,4/28 - 4/30,1500 LV,50,48,2,2019
Gallup,4/17 - 4/30,1024 A,46,50,-4,2019
Quinnipiac,4/26 - 4/29,1044 RV,41,55,-14,2019
CNN,4/25 - 4/28,913 RV,44,53,-9,2019
NPR/PBS/Marist,4/24 - 4/29,840 RV,42,54,-12,2019
ABC News/Wash Post,4/22 - 4/25,865 RV,42,54,-12,2019
The Hill/HarrisX,4/22 - 4/23,1001 RV,45,55,-10,2019
Economist/YouGov,4/21 - 4/23,1268 RV,45,52,-7,2019
Rasmussen Reports,4/21 - 4/23,1500 LV,49,49,Tie,2019
Reuters/Ipsos,4/17 - 4/23,4018 A,40,53,-13,2019
Politico/Morning Consult,4/19 - 4/21,1992 RV,39,57,-18,2019
The Hill/HarrisX,4/15 - 4/16,1000 RV,46,54,-8,2019
Reuters/Ipsos,4/15 - 4/16,1006 A,40,56,-16,2019
FOX News,4/14 - 4/16,1005 RV,45,51,-6,2019
Rasmussen Reports,4/14 - 4/16,1500 LV,52,48,4,2019
Economist/YouGov,4/13 - 4/16,1186 RV,43,52,-9,2019
Monmouth,4/11 - 4/15,711 RV,40,54,-14,2019
Politico/Morning Consult,4/12 - 4/14,1998 RV,44,51,-7,2019
Emerson,4/11 - 4/14,914 RV,43,49,-6,2019
Economist/YouGov,4/6 - 4/9,1267 RV,43,55,-12,2019
Rasmussen Reports,4/7 - 4/9,1500 LV,51,47,4,2019
Reuters/Ipsos,4/5 - 4/9,2667 A,39,56,-17,2019
Gallup,4/1 - 4/9,1012 A,45,51,-6,2019
Politico/Morning Consult,4/5 - 4/7,1992 RV,40,56,-16,2019
GU Politics/Battleground,3/31 - 4/4,1000 RV,43,52,-9,2019
IBD/TIPP,3/28 - 4/6,907 A,41,52,-11,2019
The Hill/HarrisX,4/1 - 4/2,1000 RV,46,54,-8,2019
Economist/YouGov,3/31 - 4/2,1227 RV,43,54,-11,2019
Rasmussen Reports,3/31 - 4/2,1500 LV,50,48,2,2019
Politico/Morning Consult,3/29 - 4/1,1945 RV,42,53,-11,2019
Reuters/Ipsos,3/26 - 4/1,3962 A,42,53,-11,2019
PPP (D),3/27 - 3/28,846 RV,42,52,-10,2019
NPR/PBS/Marist,3/25 - 3/27,834 RV,44,50,-6,2019
NBC News/Wall St. Jrnl,3/23 - 3/27,1000 A,43,53,-10,2019
Harvard-Harris,3/25 - 3/26,1437 RV,45,55,-10,2019
Politico/Morning Consult,3/25 - 3/26,1978 RV,42,55,-13,2019
Economist/YouGov,3/24 - 3/26,1249 RV,46,51,-5,2019
Reuters/Ipsos,3/20 - 3/26,4603 A,42,52,-10,2019
Rasmussen Reports,3/24 - 3/26,1500 LV,49,50,-1,2019
Quinnipiac,3/21 - 3/25,1358 RV,39,55,-16,2019
Pew Research,3/20 - 3/25,RV,41,55,-14,2019
CNBC,3/18 - 3/21,800 A,40,49,-9,2019
FOX News,3/17 - 3/20,1002 RV,46,51,-5,2019
The Hill/HarrisX,3/18 - 3/19,1003 RV,45,55,-10,2019
Economist/YouGov,3/17 - 3/19,1287 RV,42,56,-14,2019
Emerson,3/17 - 3/18,1153 RV,43,50,-7,2019
Reuters/Ipsos,3/13 - 3/19,2222 A,39,55,-16,2019
Politico/Morning Consult,3/15 - 3/17,1991 RV,41,54,-13,2019
CNN,3/14 - 3/17,914 RV,43,51,-8,2019
USA Today/Suffolk,3/13 - 3/17,1000 RV,48,49,-1,2019
Rasmussen Reports,3/13 - 3/17,1500 LV,47,51,-4,2019
Economist/YouGov,3/10 - 3/12,1279 RV,45,53,-8,2019
Reuters/Ipsos,3/6 - 3/12,2207 A,41,54,-13,2019
Politico/Morning Consult,3/8 - 3/10,1994 RV,41,54,-13,2019
Gallup,3/1 - 3/10,1032 A,39,57,-18,2019
The Hill/HarrisX,3/5 - 3/6,1001 RV,45,55,-10,2019
Economist/YouGov,3/3 - 3/5,1304 RV,45,53,-8,2019
Rasmussen Reports,3/5 - 3/7,1500 LV,50,49,1,2019
Monmouth,3/1 - 3/4,746 RV,44,52,-8,2019
Quinnipiac,3/1 - 3/4,1120 RV,38,55,-17,2019
Politico/Morning Consult,3/1 - 3/3,1993 RV,41,54,-13,2019
Reuters/Ipsos,2/27 - 3/5,3269 A,39,56,-17,2019
NBC News/Wall St. Jrnl,2/24 - 2/27,900 A,46,52,-6,2019
Economist/YouGov,2/24 - 2/26,1328 RV,43,53,-10,2019
IBD/TIPP,2/21 - 3/2,907 A,41,53,-12,2019
Reuters/Ipsos,2/20 - 2/26,3514 A,41,55,-14,2019
Politico/Morning Consult,2/22 - 2/24,1994 RV,42,54,-12,2019
Rasmussen Reports,2/24 - 2/26,1500 LV,49,49,Tie,2019
Harvard-Harris,2/19 - 2/20,1792 RV,45,55,-10,2019
Gallup,2/12 - 2/28,1932 A,43,54,-11,2019
Economist/YouGov,2/17 - 2/19,1318 RV,45,52,-7,2019
The Hill/HarrisX,2/17 - 2/18,1001 RV,45,55,-10,2019
Politico/Morning Consult,2/15 - 2/19,1914 RV,42,53,-11,2019
Rasmussen Reports,2/17 - 2/19,1500 LV,49,51,-2,2019
Reuters/Ipsos,2/13 - 2/19,3322 A,41,55,-14,2019
Emerson,2/14 - 2/16,1000 RV,43,51,-8,2019
FOX News,2/10 - 2/12,1004 RV,46,52,-6,2019
Economist/YouGov,2/10 - 2/12,1283 RV,41,57,-16,2019
Rasmussen Reports,2/10 - 2/12,1500 LV,50,49,1,2019
Reuters/Ipsos,2/6 - 2/12,2240 A,39,57,-18,2019
Politico/Morning Consult,2/7 - 2/10,1991 RV,45,51,-6,2019
The Hill/HarrisX,2/7 - 2/8,1002 RV,47,53,-6,2019
Gallup,2/1 - 2/10,1016 A,44,52,-8,2019
Economist/YouGov,2/2 - 2/5,1294 RV,42,54,-12,2019
Rasmussen Reports,2/3 - 2/5,1500 LV,48,51,-3,2019
Reuters/Ipsos,1/30 - 2/5,2470 A,38,57,-19,2019
Politico/Morning Consult,2/1 - 2/2,1993 RV,41,56,-15,2019
CNN,1/30 - 2/2,RV,42,54,-12,2019
Economist/YouGov,1/27 - 1/29,1313 RV,43,54,-11,2019
Rasmussen Reports,1/27 - 1/29,1500 LV,43,56,-13,2019
Quinnipiac,1/25 - 1/28,1004 RV,38,57,-19,2019
IBD/TIPP,1/24 - 2/1,905 A,39,57,-18,2019
Monmouth,1/25 - 1/27,735 RV,43,53,-10,2019
Reuters/Ipsos,1/23 - 1/29,2958 A,39,56,-17,2019
Politico/Morning Consult,1/25 - 1/27,1997 RV,40,55,-15,2019
